ID,Centrality,Optimality,Node,Module
CITRtm,0.012235365355422228,0,Astrocyte,Central
CSm,0.8301712615802297,5.457460131416008e-16,Astrocyte,Central
CYANSTm,0.8461547041714732,1.1626762888668886e-16,Astrocyte,Central
D-LACtm,0.8729056923089553,1.423685251673738e-17,Astrocyte,Central
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Central
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Central
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Central
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Central
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Central
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Central
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Central
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Central
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Central
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Central
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Central
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Central
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Central
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Central
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Central
FPGS7m,0.7114057982569254,0,Astrocyte,Central
FPGS7m,0.7114057982569254,0,Astrocyte,Central
FPGS7m,0.7114057982569254,0,Astrocyte,Central
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Central
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Central
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Central
FPGS9m,0.7342161824041843,0,Astrocyte,Central
FPGS9m,0.7342161824041843,0,Astrocyte,Central
FPGS9m,0.7342161824041843,0,Astrocyte,Central
FPGSm,0.716511147952393,5.504916306471799e-16,Astrocyte,Central
FPGSm,0.716511147952393,5.504916306471799e-16,Astrocyte,Central
G5SDym,0.6311244091050426,6.97605773320133e-16,Astrocyte,Central
GLU5Km,0.04413045347390617,1.5185976017853237e-16,Astrocyte,Central
H2Otm,0.24379756340914427,2.4470664742577602e-14,Astrocyte,Central
H2Otm,0.24379756340914427,2.4470664742577602e-14,Astrocyte,Central
HMGCOASim,0.8009729832626552,9.72851588643723e-16,Astrocyte,Central
HMGCOASim,0.8009729832626552,9.72851588643723e-16,Astrocyte,Central
HPROxm,0.6289548651177644,0,Astrocyte,Central
L-LACtm,0.873657550863863,0.2316318208042137,Astrocyte,Central
LYStm,0.898236269731813,1.423685251673738e-17,Astrocyte,Central
MMSAD1m,0.10020284209697176,0.30858520349919577,Astrocyte,Central
MMSAD3m,0.10594478833081925,0.03098273041885492,Astrocyte,Central
ORNt3m,0.8834081084874545,1.423685251673738e-17,Astrocyte,Central
ORNt4m,0.8869307942709613,1.423685251673738e-17,Astrocyte,Central
P5CDm,0.7853027646160629,6.169302757252878e-17,Astrocyte,Central
PHCDm,0.7564581530177089,6.169302757252878e-17,Astrocyte,Central
PIt2m,1,1.239129384979873e-14,Astrocyte,Central
PYRt2m,0.8845002578341493,3.1795637287379933e-16,Astrocyte,Central
SACCD3m,0.759898791130509,6.169302757252878e-17,Astrocyte,Central
SACCD4m,0.7456410176799835,2.1355278775106113e-16,Astrocyte,Central
SSALxm,0.7732745777417783,0.24074095757367886,Astrocyte,Central
THD1m,0.9582790935574187,8.691140482554369e-16,Astrocyte,Central
VITD2Hm,0.7609266177498286,2.1355278775106113e-16,Astrocyte,Central
VITD3Hm,0.7613410171459681,2.1355278775106113e-16,Astrocyte,Central
NH3tm,0.906897728995234,1.7854642456557065e-14,Astrocyte,Central
LacLtm,0.004366223892417056,0.21515060286482135,Astrocyte,Central
UREAtm,0.11901756766866169,0,Astrocyte,Central
UREAtm,0.11901756766866169,0,Astrocyte,Central
