,rxns
80724,"['PPCOAOm_Neuron', 'PPCOAOm', 'ACOAD1fm_Neuron', 'ACOAD1fm']"
27034,"['PPCOAOm_Neuron', 'ACOAD9m_Neuron', 'PPCOAOm', 'ACOAD1fm_Neuron', 'ACOAD1fm', 'ACOAD9m']"
3712,"['ACOAD8m_Neuron', 'ACOAD8m']"
50,"['ACONTm', 'ACONTm_Neuron']"
788,"['CRNtim', 'C160CRNt', 'ACRNtm_Neuron', 'CRNtim_Neuron', 'C160CRNt_Neuron', 'ACRNtm']"
97,"['ACYP_Neuron', 'ACYP']"
203,"['ADK1', 'ADK1_Neuron']"
26289,"['ADK1', 'ADK1_Neuron']"
205,"['ADK3m', 'ADK1m_Neuron', 'ADK3m_Neuron', 'ADK1m']"
204,"['ADK1m_Neuron', 'ADK1m']"
50808,"['DAKm_Neuron', 'DAKm', 'ADK3m_Neuron', 'ADK3m']"
53343,"['ADPRDPm_Neuron', 'ADPRDPm']"
79814,"['AGMTm', 'AGMTm_Neuron']"
5832,"['LCADi_Dm', 'GCALDDm', 'GLU5Km', 'GCALDDm_Neuron', 'LCADim', 'AGPRim_Neuron', 'GLU5Km_Neuron', 'LCADim_Neuron', 'AGPRim', 'G5SDym', 'LCADi_Dm_Neuron', 'G5SDym_Neuron']"
64850,"['AGTim_Neuron', 'AGTim']"
8402,"['AKGMALtm_Neuron', 'AKGMALtm']"
23464,"['GLYATm', 'GLYATm_Neuron', 'ALASm_Neuron', 'ALASm']"
211,"['ALASm_Neuron', 'ALASm']"
126,"['ALCD2if_Neuron', 'ALCD2if']"
124,"['ALCD2if_Neuron', 'ALCD2if']"
128,"['ALCD2if_Neuron', 'ALCD2if']"
284273,"['ALCD2if_Neuron', 'ALCD2if']"
137872,"['ALCD2if_Neuron', 'ALCD2if']"
10327,"['ALCD2yf_Neuron', 'ALCD2yf']"
223,"['ALDD2x', 'ALDD2x_Neuron', 'ALDD2y', 'ALDD2y_Neuron']"
224,"['ALDD2x', 'ALDD2x_Neuron', 'ALDD2y', 'ALDD2y_Neuron']"
501,"['ALDD2x', 'ALDD2x_Neuron']"
8854,"['ALDD2x', 'ALDD2x_Neuron', 'ALDD2y', 'ALDD2y_Neuron']"
220,"['ALDD2x', 'ALDD2x_Neuron']"
216,"['ALDD2x', 'ALDD2x_Neuron']"
231,"['ALR_Neuron', 'ALR']"
115286,"['AMETt2m', 'AMETt2m_Neuron']"
113451,"['ARGDCm_Neuron', 'ARGDCm']"
9057,"['ARGLYSex_Int', 'ARGLYSex']"
6520,"['SERGLYexR_Neuron', 'SERGLYexR_Int', 'ARGLYSex_Int', 'SERGLNexR_Int', 'CYSGLYexR', 'SERGLNexR_Neuron', 'SERGLNexR', 'CYSGLUexR_Int', 'CYSGLUexR', 'CYSGLYex', 'CYSGLYex_Int', 'CYSGLUexR_Neuron', 'CYSGLYexR_Neuron', 'ARGLYSex', 'SERGLYexR']"
6541,"['LYStiDF_Neuron', 'ARGtiDF', 'ORNtiDF', 'ORNtiDF_Int', 'LYStiDF', 'ARGtiDF_Neuron', 'ORNtiDF_Neuron', 'ARGtiDF_Int', 'LYStiDF_Int']"
84889,"['LYStiDF_Neuron', 'ARGtiDF', 'ORNtiDF', 'ORNtiDF_Int', 'LYStiDF', 'ARGtiDF_Neuron', 'ORNtiDF_Neuron', 'ARGtiDF_Int', 'LYStiDF_Int']"
83884,"['ORNt4m_Neuron', 'ORNt3m', 'LYStm_Neuron', 'CITRtm', 'LYStm', 'ORNt3m_Neuron', 'ARGtm', 'ORNt4m', 'ARGtm_Neuron', 'CITRtm_Neuron']"
80150,"['ASNNm', 'ASNNm_Neuron']"
11254,"['ASNt4_Neuron', 'SERt4', 'ASNt4', 'SERt4_Int', 'ASNt4_Int', 'SERt4_Neuron']"
81539,"['ASNt4_Neuron', 'SERt4', 'ASNt4', 'SERt4_Int', 'ASNt4_Int', 'SERt4_Neuron']"
54407,"['ASNt4_Neuron', 'SERt4', 'ASNt4', 'SERt4_Int', 'ASNt4_Int', 'SERt4_Neuron']"
2805,"['ASPTA_Neuron', 'ASPTA']"
521,"['ATPS4m', 'ATPS4m_Neuron']"
9551,"['ATPS4m', 'ATPS4m_Neuron']"
10476,"['ATPS4m', 'ATPS4m_Neuron']"
515,"['ATPS4m', 'ATPS4m_Neuron']"
513,"['ATPS4m', 'ATPS4m_Neuron']"
498,"['ATPS4m', 'ATPS4m_Neuron']"
514,"['ATPS4m', 'ATPS4m_Neuron']"
516,"['ATPS4m', 'ATPS4m_Neuron']"
509,"['ATPS4m', 'ATPS4m_Neuron']"
10632,"['ATPS4m', 'ATPS4m_Neuron']"
4905,"['ATPS4m', 'ATPS4m_Neuron']"
506,"['ATPS4m', 'ATPS4m_Neuron']"
522,"['ATPS4m', 'ATPS4m_Neuron']"
292,"['ATPtm_Neuron', 'ATPtm']"
291,"['ATPtm_Neuron', 'ATPtm']"
293,"['ATPtm_Neuron', 'ATPtm']"
3141,"['BACCLm_Neuron', 'BTNPLm', 'BTNPLm_Neuron', 'BACCLm']"
140679,"['BALAVECSEC', 'BALAVECSEC_Int', 'BALAVECSEC_Neuron']"
622,"['BDHm_Neuron', 'BDHm']"
686,"['BTNDm', 'BTNDm_Neuron']"
80704,"['BTNt4i', 'BTNt4i_Int', 'BTNt4i_Neuron']"
1376,"['C160CPT2', 'C226CPT2', 'C226CPT2_Neuron', 'C160CPT2_Neuron', 'C204CPT2', 'C204CPT2_Neuron']"
549,"['MGCHrm_Neuron', 'C2M26DCOAHLm', 'T2M26DCOAHLm_Neuron', 'MGCHrm', 'ECOAH1m', 'PRPNCOAHYDm', 'C2M26DCOAHLm_Neuron', 'ECOAH1m_Neuron', 'T2M26DCOAHLm', 'PRPNCOAHYDm_Neuron']"
847,"['CATm_Neuron', 'CATm']"
166785,"['CBLATm_Neuron', 'CBL2tm_Neuron', 'CBLATm', 'CBL2tm']"
8760,"['CDSm_Neuron', 'CDSm']"
6576,"['CITtam', 'CITtam_Neuron', 'CITtbm_Neuron', 'CITtbm']"
1160,"['CK', 'CK_Neuron']"
1159,"['CK', 'CK_Neuron']"
51805,"['COQ3m', 'DHDPBMTm_Neuron', 'COQ3m_Neuron', 'DHDPBMTm']"
84274,"['COQ5m_Neuron', 'COQ5m']"
51004,"['COQ6m', 'COQ6m_Neuron']"
10229,"['COQ7m_Neuron', 'COQ7m']"
1371,"['CPPPGO', 'CPPPGO_Neuron']"
6584,"['CRNt_Neuron', 'CRNt_Int', 'CRNt']"
1384,"['CSNAT2m', 'CSNATm_Neuron', 'CSNATm', 'CSNAT2m_Neuron']"
1431,"['CSm_Neuron', 'CSm']"
7263,"['CYANSTm', 'CYANSTm_Neuron']"
84701,"['CYOOm2_Neuron', 'CYOOm2']"
1327,"['CYOOm2_Neuron', 'CYOOm2']"
341947?,"['CYOOm2_Neuron', 'CYOOm2']"
4514?,"['CYOOm2_Neuron', 'CYOOm2']"
1351,"['CYOOm2_Neuron', 'CYOOm2']"
1339?,"['CYOOm2_Neuron', 'CYOOm2']"
1329,"['CYOOm2_Neuron', 'CYOOm2']"
9377,"['CYOOm2_Neuron', 'CYOOm2']"
1347,"['CYOOm2_Neuron', 'CYOOm2']"
9167?,"['CYOOm2_Neuron', 'CYOOm2']"
1346?,"['CYOOm2_Neuron', 'CYOOm2']"
1337,"['CYOOm2_Neuron', 'CYOOm2']"
125965,"['CYOOm2_Neuron', 'CYOOm2']"
1350?,"['CYOOm2_Neuron', 'CYOOm2']"
1345,"['CYOOm2_Neuron', 'CYOOm2']"
1340,"['CYOOm2_Neuron', 'CYOOm2']"
4513,"['CYOOm2_Neuron', 'CYOOm2']"
170712,"['CYOOm2_Neuron', 'CYOOm2']"
1349?,"['CYOOm2_Neuron', 'CYOOm2']"
4512?,"['CYOOm2_Neuron', 'CYOOm2']"
4519?,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
29796,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
10975,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
7381,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
7384,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
7388,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
7386,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
27089?,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
1537,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
7385,"['CYOR-u10m', 'CYOR-u10m_Neuron']"
56301,"['SERGLYexR_Neuron', 'SERGLYexR_Int', 'SERGLNexR_Int', 'CYSGLYexR', 'SERGLNexR_Neuron', 'CYSGLUexR_Int', 'SERGLNexR', 'CYSGLUexR', 'CYSGLUexR_Neuron', 'CYSGLYexR_Neuron', 'SERGLYexR']"
23428,"['CYSGLYex', 'CYSGLYex_Int']"
1036,"['CYSO', 'CYSO_Neuron']"
124935,"['VALtec_Int', 'CYStec_Neuron', 'LEUtec_Int', 'CYStec_Int', 'LEUtec_Neuron', 'ILEtec_Int', 'LEUtec', 'ILEtec_Neuron', 'ILEtec', 'VALtec_Neuron', 'CYStec', 'VALtec']"
51727,"['CYTK1m_Neuron', 'CYTK1m']"
9123,"['L-LACt2r_Int', 'D-LACt2_Int', 'PYRt2r_Int', 'L-LACt2r_Neuron', 'PYRt2r_Neuron', 'PYRt2r', 'D-LACt2', 'L-LACt2r', 'D-LACt2_Neuron']"
1716,"['DGNSKm', 'DGNSKm_Neuron']"
29958,"['DMGDHm_Neuron', 'DMGDHm']"
669,"['DPGase_Neuron', 'DPGase', 'PGM_Neuron', 'PGM', 'DPGM_Neuron', 'DPGM']"
5223,"['DPGase_Neuron', 'DPGase', 'PGM_Neuron', 'PGM', 'DPGM_Neuron', 'DPGM']"
7084,"['TMDK1m_Neuron', 'DURIK1m_Neuron', 'DURIK1m', 'TMDK1m']"
1854,"['DUTPDPm_Neuron', 'DUTPDPm']"
1892,"['ECOAH9m_Neuron', 'ECOAH12m', 'ECOAH1m', 'PRPNCOAHYDm', 'ECOAH9m', 'ECOAH1m_Neuron', 'ECOAH12m_Neuron', 'PRPNCOAHYDm_Neuron']"
2027,"['ENO_Neuron', 'ENO']"
2023,"['ENO_Neuron', 'ENO']"
2026,"['ENO_Neuron', 'ENO']"
2109,"['ETF_Neuron', 'ETF']"
2108,"['ETF_Neuron', 'ETF']"
2110,"['ETFQO_Neuron', 'ETFQO']"
1571,"['ETOHMO_Neuron', 'ETOHMO']"
230,"['FBA_Neuron', 'FBA']"
226,"['FBA_Neuron', 'FBA']"
2235,"['FCLTm', 'FCLTm_Neuron']"
4891,"['Fe2t_Neuron', 'FE2t_Int', 'FE2t']"
2356,"['FPGS6m', 'FPGS6m_Neuron', 'FPGS4m', 'FPGS2m_Neuron', 'FPGS4m_Neuron', 'FPGS3m', 'FPGS9m', 'FPGS9m_Neuron', 'FPGS2m', 'FPGS7m', 'FPGS3m_Neuron', 'FPGS7m_Neuron', 'FPGS5m', 'FPGS5m_Neuron', 'FPGSm', 'FPGSm_Neuron', 'FPGS8m', 'FPGS8m_Neuron']"
25902,"['MTHFCm', 'MTHFDm_Neuron', 'FTHFLm', 'MTHFDm', 'MTHFCm_Neuron', 'FTHFLm_Neuron']"
1468,"['MALtm_Neuron', 'MALSO3tm', 'MALtm', 'MALTSULtm', 'SUCCt2m_Neuron', 'FUMTSULtm', 'FUMTSULtm_Neuron', 'MALSO4tm_Neuron', 'SUCCt2m', 'MALSO4tm', 'MALTSULtm_Neuron', 'FUMSO3tm', 'FUMSO4tm', 'FUMSO4tm_Neuron', 'MALSO3tm_Neuron', 'FUMtm', 'FUMSO3tm_Neuron', 'FUMtm_Neuron']"
2271,"['FUMm_Neuron', 'FUMm']"
2820,"['G3PD2m', 'G3PD2m_Neuron']"
9563,"['G6PDH2r', 'G6PDH2r_Neuron']"
2539,"['G6PDH2r', 'G6PDH2r_Neuron']"
2597,"['GAPD', 'GAPD_Neuron']"
7915,"['LCADi_Dm', 'GCALDDm', 'LCADi_Dm_Neuron', 'GCALDDm_Neuron', 'LCADim', 'LCADim_Neuron', 'SSALxm_Neuron', 'SSALxm']"
4329,"['LCADi_Dm', 'GCALDDm', 'GCALDDm_Neuron', 'LCADim', 'MMSAD3m', 'LCADim_Neuron', 'MMSAD1m_Neuron', 'MMSAD3m_Neuron', 'LCADi_Dm_Neuron', 'MMSAD1m']"
