ID,Sensitivity,Flux,Node type,total
DM_q10(m)_Neuron,0.2042792885112087,0,Terminal,0.2042792885112087
ACACt2_Neuron,0.20164994065519193,0,Neuron,0.20164994065519193
ALCD2if_Neuron,0.20143233217756473,0,Neuron,0.20143233217756473
ALR_Neuron,0.1999574601762108,0,Neuron,0.1999574601762108
EX_pe_hs(e),0.1995916731610817,0,Exchange,0.1995916731610817
PEFLIP_Int,0.1995916731610817,0,Astrocyte,0.1995916731610817
NaKt_Int,1.898247002231655e-17,0.19532483578669,Astrocyte,0.19532483578669002
SERGLNexR_Int,0.18018178760793127,0,Astrocyte,0.18018178760793127
CYSGLUexR_Int,0.1801817876079312,0,Astrocyte,0.1801817876079312
MMSAD1m_Neuron,0.1791162903049763,0,Neuron,0.1791162903049763
GLYKm_Neuron,0.17911629030497436,0,Neuron,0.17911629030497436
PNTKm_Neuron,0.17911629030497436,0,Neuron,0.17911629030497436
PEFLIPm_Neuron,0.17911629030497414,0,Neuron,0.17911629030497414
ALCD2yf_Neuron,0.1759088483639199,0,Neuron,0.1759088483639199
DM_thf(c)_Neuron,0.17424627538438464,0,Terminal,0.17424627538438464
DM_q10(m),0.1678088996947698,0,Terminal,0.1678088996947698
ASNt4_Neuron,0.16135807451028003,0,Neuron,0.16135807451028003
BTNt2_Int,2.8450946632094066e-32,0.15733754037239156,Astrocyte,0.15733754037239156
BTNt4i_Int,2.8450946632094066e-32,0.15733754037239156,Astrocyte,0.15733754037239156
PROD2m_Neuron,0.150696277441272,0,Neuron,0.150696277441272
MMCDm_Neuron,0.15069627744127184,0,Neuron,0.15069627744127184
SUCOAS1m_Neuron,0.15069627744127123,0,Neuron,0.15069627744127123
SUCOASm_Neuron,0.15069627744127123,0,Neuron,0.15069627744127123
DUTPDPm_Neuron,0.1506962774412712,0,Neuron,0.1506962774412712
ACYP_Neuron,0.15069627744127118,0,Neuron,0.15069627744127118
DM_atp(m)_Neuron,0.15069627744127106,0,Terminal,0.15069627744127106
DURIK1m_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PCFLOPm_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PEFLIP_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PSFLIP_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
PSFLIPm_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
TMDK1m_Neuron,0.15069627744127106,0,Neuron,0.15069627744127106
ADK1_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
CKc_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
CREATtmdiffir_Neuron,0.15069627744127093,0,Neuron,0.15069627744127093
DPGM_Neuron,0.15069627744126937,0,Neuron,0.15069627744126937
PGI_Neuron,2.4297561628565184e-15,0.14347561138638967,Neuron,0.14347561138639212
HEX1_Neuron,1.518597601785324e-16,0.14347561138638967,Neuron,0.1434756113863898
PFK_Neuron,1.518597601785324e-16,0.14347561138638965,Neuron,0.14347561138638978
FBA_Neuron,0,0.14347561138638965,Neuron,0.14347561138638965
TPI_Neuron,0,0.14347561138638965,Neuron,0.14347561138638965
BHBt_Neuron,0.13622865829905517,0,Neuron,0.13622865829905517
ORNtiDF_Int,0.13078157017084208,0,Astrocyte,0.13078157017084208
3AIBtm,0.12333690560144794,0,Astrocyte,0.12333690560144794
DM_atp(m),0.12049383658017883,0,Terminal,0.12049383658017883
DURIK1m,0.12049383658017883,0,Astrocyte,0.12049383658017883
NTD5m,0.12049383658017883,0,Astrocyte,0.12049383658017883
HMGLm,0.12049383658017876,0,Astrocyte,0.12049383658017876
MMCDm,0.12049383658017872,0,Astrocyte,0.12049383658017872
NDPK1_Neuron,0.1185135354265836,0,Neuron,0.1185135354265836
ETF,0.11782879902661475,0,Astrocyte,0.11782879902661475
DM_for_Neuron,0.11227855560521789,0,Terminal,0.11227855560521789
Kt1r_Int,0,0.11212400096301249,Astrocyte,0.11212400096301249
sink_vitd2,0.10415462927005131,0,Astrocyte,0.10415462927005131
sink_vitd3,0.10415462927005131,0,Astrocyte,0.10415462927005131
GLUNm,0.10162624639766837,0,Astrocyte,0.10162624639766837
DM_atp(c),0.1016262463976683,0,Terminal,0.1016262463976683
DM_pchol_hs,0.1016262463976683,0,Terminal,0.1016262463976683
PSFLIP,0.1016262463976683,0,Astrocyte,0.1016262463976683
PSFLIP_Int,0.1016262463976683,0,Astrocyte,0.1016262463976683
PSFLIPm,0.1016262463976683,0,Astrocyte,0.1016262463976683
ACYP,0.10162624639766826,0,Astrocyte,0.10162624639766826
DPGase,0.10162624639766826,0,Astrocyte,0.10162624639766826
