,ID,cell,AbsoluteC,mean_shift_clusters
82,ADPRDPm,Astrocyte,0.8238581001409723,1
83,AGMTm,Astrocyte,0.1889804040181913,4
84,AGPRim,Astrocyte,0.7014030200761459,2
85,AGTim,Astrocyte,0.0042701757258228,0
86,AKGDm,Astrocyte,0.1181883887771645,3
87,AKGMALtm,Astrocyte,0.0038981246822445,0
88,ALASm,Astrocyte,0.7513289833432073,2
89,ALATAL,Astrocyte,0.0403537588880922,0
90,ALATALm,Astrocyte,0.0043237635808555,0
91,ALAtN1,Astrocyte,0.0024445987284196,0
92,ALAtN1Int,Astrocyte,0.000821875338777044,0
93,ALCD2if,Astrocyte,0.0542263161605655,0
94,ALCD2yf,Astrocyte,0.0543529265031516,0
95,ALDD20xm,Astrocyte,0.8560061859771011,1
96,ALDD2x,Astrocyte,0.050428357894292,0
97,ALDD2xm,Astrocyte,0.8530498896774374,1
98,ALDD2y,Astrocyte,0.0505440525323958,0
99,ALDH1L1,Astrocyte,0.8706420841068047,1
100,ALR,Astrocyte,0.0505249636159909,0
101,AMETt2m,Astrocyte,0.0276053425801592,0
102,AOBUTDsm,Astrocyte,0.6994610816485304,2
103,APAT2rm,Astrocyte,0.012165750235061,0
104,APOCFm,Astrocyte,0.803570345327262,1
105,APOCLYSBTNPm,Astrocyte,0.1566013870457974,3
106,ARGDCm,Astrocyte,0.7071782206556615,2
107,ARGLYSex,Astrocyte,0.013816650811324,0
108,ARGLYSexInt,Astrocyte,0.0037273033210077,0
109,ARGtiDF,Astrocyte,0.0017510637617132,0
110,ARGtiDFInt,Astrocyte,0.00056087998472479,0
111,ARGtm,Astrocyte,0.8910855552827306,1
112,ASNNm,Astrocyte,0.1545172610833036,3
113,ASNt4,Astrocyte,0.0092066348851804,0
114,ASNt4Int,Astrocyte,0.0014288322935044,0
115,ASNtm,Astrocyte,0.0017349779335326,0
116,ASPGLUm,Astrocyte,0.9470824570965156,1
117,ASPTA,Astrocyte,0.0008019043804232379,0
