ID,gene,cell
ALDD2xmNeuron,217,Neuron
ALDD2yNeuron,221,Neuron
ALDD2yNeuron,218,Neuron
ALDD2yNeuron,222,Neuron
ALDD2yNeuron,8854,Neuron
ALDD2yNeuron,8854,Neuron
ALDD2yNeuron,224,Neuron
ALDD2yNeuron,223,Neuron
ALDD2yNeuron,8854,Neuron
ALDD2yNeuron,219,Neuron
ALDD2yNeuron,223,Neuron
ALDD2yNeuron,224,Neuron
ALDD2yNeuron,8854,Neuron
ALRNeuron,231,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AMETt2mNeuron,115286,Neuron
AOBUTDsmNeuron,,Neuron
APAT2rmNeuron,18,Neuron
APAT2rmNeuron,18,Neuron
APAT2rmNeuron,18,Neuron
APOCLYSBTNPmNeuron,,Neuron
APOCLYSBTNPmNeuron,,Neuron
APOCFmNeuron,,Neuron
APOCFmNeuron,,Neuron
ARGDCmNeuron,113451,Neuron
ARGDCmNeuron,113451,Neuron
ARGtiDFNeuron,6541,Neuron
ARGtiDFNeuron,84889,Neuron
ARGtmNeuron,83884,Neuron
ARGtmNeuron,10166,Neuron
ARGtmNeuron,83884,Neuron
ASNNmNeuron,80150,Neuron
ASNNmNeuron,80150,Neuron
ASNt4Neuron,11254,Neuron
ASNt4Neuron,57393,Neuron
ASNt4Neuron,59272,Neuron
ASNt4Neuron,54407,Neuron
ASNt4Neuron,340024,Neuron
ASNt4Neuron,81539,Neuron
ASNt4Neuron,55089,Neuron
ASNt4Neuron,11254,Neuron
ASNt4Neuron,81539,Neuron
ASNt4Neuron,54407,Neuron
ASNtmNeuron,,Neuron
ASPGLUmNeuron,10165,Neuron
ASPGLUmNeuron,8604,Neuron
ASPGLUmNeuron,10165,Neuron
ASPGLUmNeuron,8604,Neuron
ASPNATmNeuron,,Neuron
ASPTANeuron,2805,Neuron
ASPTANeuron,2806,Neuron
ASPTANeuron,2805,Neuron
ASPTAmNeuron,2806,Neuron
ASPTAmNeuron,2806,Neuron
ASPTAmNeuron,2805,Neuron
ASPTAmNeuron,2806,Neuron
ASPTAmNeuron,2806,Neuron
ATPtmNeuron,292,Neuron
ATPtmNeuron,291,Neuron
ATPtmNeuron,293,Neuron
ATPtmNeuron,292,Neuron
ATPtmNeuron,291,Neuron
ATPtmNeuron,293,Neuron
BACCLmNeuron,3141,Neuron
BACCLmNeuron,3141,Neuron
