,ID,cell,AbsoluteC,mean_shift_clusters
36,3SALAASPm,Astrocyte,0.0017370305730872,0
37,3SALATAim,Astrocyte,0.6686039748602858,1
38,3SPYRSPm,Astrocyte,0.7929954034724158,1
39,4ABUTtm,Astrocyte,0.0036623173236479,0
40,4HBZCOAFm,Astrocyte,0.8773749008336318,1
41,4HBZFm,Astrocyte,0.8865414024857483,1
42,4HGLSDm,Astrocyte,0.8315559405336314,1
43,5AOPtm,Astrocyte,0.0062164134149001,0
44,5HOXINDACTOXm,Astrocyte,0.8375039845136418,1
45,5THFtm,Astrocyte,0.0371076837307604,0
46,6DHFtm,Astrocyte,0.0370893782919567,0
47,6THFtm,Astrocyte,0.0372078177667707,0
48,7DHFtm,Astrocyte,0.0566468413433417,0
49,7THFtm,Astrocyte,0.0566250456937149,0
50,AACOAT,Astrocyte,0.0209617336025672,0
51,AACTOOR,Astrocyte,0.0335757696081576,0
52,AACTtm,Astrocyte,0.0061363634265299,0
53,AASAD3m,Astrocyte,0.838775709590659,1
54,AATAi,Astrocyte,0.0016766717082318,0
55,ABTArm,Astrocyte,0.0086929723867411,0
56,ABUTt2r,Astrocyte,0.0279603924353154,0
57,ABUTt2rInt,Astrocyte,0.0461036313001371,0
58,ACACT10m,Astrocyte,0.0011888738393,0
59,ACACT1r,Astrocyte,0.0154271546001146,0
60,ACACT1rm,Astrocyte,0.002473106117284,0
61,ACACt2,Astrocyte,0.0298616515918504,0
62,ACACt2Int,Astrocyte,0.0457914363463969,0
63,ACACt2m,Astrocyte,0.8025619274697308,1
64,ACALDt,Astrocyte,0.0234980576534396,0
65,ACALDtInt,Astrocyte,0.0017327219469767,0
66,ACALDtm,Astrocyte,0.0014720599727324,0
67,ACCOALm,Astrocyte,0.4434580235228378,2
68,ACOAD10m,Astrocyte,0.000627175694193139,0
69,ACOAD1fm,Astrocyte,0.0006282375029327676,0
70,ACOAD8m,Astrocyte,0.0006900022239857269,0
71,ACOAD9m,Astrocyte,0.0006271134416717862,0
72,ACONTm,Astrocyte,0.0014388906976196,0
73,ACRNtm,Astrocyte,0.0152657532130346,0
74,ACSm,Astrocyte,0.0589009335191952,0
75,ACt2m,Astrocyte,0.8069552419831079,1
76,ACt2r,Astrocyte,0.0297775816214025,0
77,ACt2rInt,Astrocyte,0.0459033364812844,0
78,ADCim,Astrocyte,0.6786365017373378,1
79,ADK1,Astrocyte,0.0018087088398479,0
80,ADK1m,Astrocyte,0.0153571572434678,0
81,ADK3m,Astrocyte,0.0063412333869789,0
82,ADPRDPm,Astrocyte,0.8134997638215652,1
83,AGMTm,Astrocyte,0.2590806358203038,2
84,AGPRim,Astrocyte,0.6832093829173493,1
85,AGTim,Astrocyte,0.0034245527706657,0
86,AKGDm,Astrocyte,0.1123395929118101,0
87,AKGMALtm,Astrocyte,0.0028472063656668,0
88,ALASm,Astrocyte,0.728867667768051,1
89,ALATAL,Astrocyte,0.0815989286966198,0
90,ALATALm,Astrocyte,0.0034894236111252,0
91,ALAtN1,Astrocyte,0.0049482216168455,0
92,ALAtN1Int,Astrocyte,0.0018216750900134,0
93,ALCD2if,Astrocyte,0.0243520112497261,0
94,ALCD2yf,Astrocyte,0.0238535061256333,0
95,ALDD20xm,Astrocyte,0.8375039845136414,1
96,ALDD2x,Astrocyte,0.0133099012231598,0
97,ALDD2xm,Astrocyte,0.8420245172640705,1
98,ALDD2y,Astrocyte,0.0133988766933233,0
99,ALDH1L1,Astrocyte,0.846148202761752,1
100,ALR,Astrocyte,0.0130603152667007,0
101,AMETt2m,Astrocyte,0.0546442206976642,0
102,AOBUTDsm,Astrocyte,0.6849618714369261,1
103,APAT2rm,Astrocyte,0.0092966913254514,0
104,APOCFm,Astrocyte,0.7875660269372964,1
105,APOCLYSBTNPm,Astrocyte,0.1518877800713407,0
106,ARGDCm,Astrocyte,0.6865699158078475,1
107,ARGLYSex,Astrocyte,0.0276943372122853,0
108,ARGLYSexInt,Astrocyte,0.0075489864737804,0
109,ARGtiDF,Astrocyte,0.0035672163056315,0
110,ARGtiDFInt,Astrocyte,0.0012500549705184,0
111,ARGtm,Astrocyte,0.7998505733896633,1
112,ASNNm,Astrocyte,0.1458360048212756,0
113,ASNt4,Astrocyte,0.0174586274863155,0
114,ASNt4Int,Astrocyte,0.0037292469342098,0
115,ASNtm,Astrocyte,0.0030804104862744,0
