,ID,cell,AbsoluteC,mean_shift_clusters
42,6THFtmNeuron,Neuron,0.0187576533127128,0
43,7DHFtmNeuron,Neuron,0.0284690274438473,0
44,7THFtmNeuron,Neuron,0.0284690274411381,0
45,AA2,Neuron,0.0010601436536323,0
46,AACOATNeuron,Neuron,0.0111249040118305,0
47,AACTOORNeuron,Neuron,0.0097685043879418,0
48,AACTtmNeuron,Neuron,0.0031000896034972,0
49,AASAD3mNeuron,Neuron,0.5649476175337281,2
50,AATAiNeuron,Neuron,0.0007882968618558368,0
51,AAH2Otneuron,Neuron,0.0059636899336966,0
52,AAPIt7neuron,Neuron,0.0100089535819169,0
53,ABTArmNeuron,Neuron,0.0124759920335219,0
54,ABUTt2rNeuron,Neuron,0.153125359532388,4
55,ACACT10mNeuron,Neuron,0.0161274478894962,0
56,ACACT1rNeuron,Neuron,0.007858058177335,0
57,ACACT1rmNeuron,Neuron,0.0121702180157101,0
58,ACACt2Neuron,Neuron,0.1533830048279088,4
59,ACACt2mNeuron,Neuron,0.6102400409864255,2
60,ACALDtNeuron,Neuron,0.00115991053972,0
61,ACALDtmNeuron,Neuron,0.0009073154102723932,0
62,ACCOALmNeuron,Neuron,0.0868796111749343,3
63,ACOAD10mNeuron,Neuron,0.0014857077430759,0
64,ACOAD1fmNeuron,Neuron,0.0015083398464348,0
65,ACOAD8mNeuron,Neuron,0.0016625077217585,0
66,ACOAD9mNeuron,Neuron,0.0014838345710753,0
67,ACONTmNeuron,Neuron,0.0010036727178702,0
68,ACRNtmNeuron,Neuron,0.0077340041875252,0
69,ACSmNeuron,Neuron,0.070004419936848,3
70,ACt2mNeuron,Neuron,0.6125652474817922,2
71,ADCimNeuron,Neuron,0.491656681192253,1
72,ADK1Neuron,Neuron,0.0018573623231152,0
73,ADK1mNeuron,Neuron,0.0357707837936512,0
74,ADK3mNeuron,Neuron,0.0246424614361577,0
75,ADPRDPmNeuron,Neuron,0.5540940016534408,2
76,AGMTmNeuron,Neuron,0.1605298483582754,4
77,AGPRimNeuron,Neuron,0.5147464315645727,1
78,AGTimNeuron,Neuron,0.0037691818329461,0
79,AKGDmNeuron,Neuron,0.127896613772258,4
80,AKGMALtmNeuron,Neuron,0.0043888613114489,0
81,ALASmNeuron,Neuron,0.5267070070181277,1
82,ALATALNeuron,Neuron,0.0102988295062958,0
83,ALATALmNeuron,Neuron,0.0201190384153433,0
84,ALAtN1Neuron,Neuron,0.0021486329790642,0
85,ALCD2ifNeuron,Neuron,0.0589807839583436,3
86,ALCD2yfNeuron,Neuron,0.0590822270456417,3
87,ALDD20xmNeuron,Neuron,0.5640901481784623,2
88,ALDD2xNeuron,Neuron,0.0720491776658809,3
89,ALDD2xmNeuron,Neuron,0.5690964739031871,2
90,ALDD2yNeuron,Neuron,0.0721550741115114,3
91,ALRNeuron,Neuron,0.0721842804946197,3
92,AMETt2mNeuron,Neuron,0.0277481368062257,0
93,AOBUTDsmNeuron,Neuron,0.4918701666673142,1
94,APAT2rmNeuron,Neuron,0.0130087100716204,0
95,APOCFmNeuron,Neuron,0.5581049891155506,2
96,APOCLYSBTNPmNeuron,Neuron,0.1487596132945209,4
97,ARGDCmNeuron,Neuron,0.4966428607846426,1
98,ARGtiDFNeuron,Neuron,0.0019757607052524,0
99,ARGtmNeuron,Neuron,0.6078649392226756,2
100,ASNNmNeuron,Neuron,0.1503056756980279,4
101,ASNt4Neuron,Neuron,0.0031833594079455,0
102,ASNtmNeuron,Neuron,0.003060416276378,0
103,ASPGLUmNeuron,Neuron,0.6388176707772103,2
104,ASPNATmNeuron,Neuron,0.5311785107310412,1
105,ASPTANeuron,Neuron,0.0007466254996332807,0
106,ASPTAmNeuron,Neuron,0.0192941352400918,0
107,ATPtmNeuron,Neuron,0.0305809344904713,0
108,BACCLmNeuron,Neuron,0.5105333222192232,1
109,BALAVECSECNeuron,Neuron,0.0927769414759479,3
110,BALAtmrNeuron,Neuron,0.0020368551907468,0
111,BAMPPALDOXmNeuron,Neuron,0.5664973828658976,2
112,BDHmNeuron,Neuron,0.4972565256216454,1
113,BETALDHxmNeuron,Neuron,0.5640901481784608,2
114,BHBtNeuron,Neuron,0.1529174069934289,4
115,BHBtmNeuron,Neuron,0.6077318013561872,2
116,BTNDmNeuron,Neuron,0.1466883616797164,4
117,BTNPLmNeuron,Neuron,0.4927468062056714,1
118,BTNt2Neuron,Neuron,0.1529174069934274,4
119,BTNt2mNeuron,Neuron,0.6149341652179467,2
120,BTNt4iNeuron,Neuron,0.1529174069934277,4
121,C160CPT2Neuron,Neuron,0.0152097055052023,0
122,C160CRNtNeuron,Neuron,0.0077426450147799,0
123,C204CPT2Neuron,Neuron,0.0102115964199281,0
124,C226CPT2Neuron,Neuron,0.010211596419928,0
125,C2M26DCOAHLmNeuron,Neuron,0.1409887589932758,4
126,CATmNeuron,Neuron,0.1511205872772951,4
127,CBLATmNeuron,Neuron,0.5016839484453051,1
128,CDPDAGtmNeuron,Neuron,0.0075035175778166,0
129,CDSmNeuron,Neuron,0.4858249975914045,1
130,CHSTEROLt3Neuron,Neuron,0.0284811694978293,0
131,CITRtmNeuron,Neuron,0.0075335012580953,0
132,CITtamNeuron,Neuron,0.0007209429863726988,0
133,CITtbmNeuron,Neuron,0.001161861344778,0
134,CKNeuron,Neuron,0.0303451293169558,0
135,CKcNeuron,Neuron,0.0079551235636545,0
136,CO2tNeuron,Neuron,0.0013057253663548,0
137,CO2tmNeuron,Neuron,0.0142359953869215,0
138,COQ3mNeuron,Neuron,0.4686104543411065,1
139,COQ5mNeuron,Neuron,0.4747257088740288,1
140,COQ6mNeuron,Neuron,0.1471475203106241,4
141,COQ7mNeuron,Neuron,0.5490448022586162,2
142,COUCOAFmNeuron,Neuron,0.0602961678901766,3
143,CPPPGONeuron,Neuron,0.0737997522828091,3
144,CREATtmdiffirNeuron,Neuron,0.0030688742814526,0
145,CRNtNeuron,Neuron,0.0013849038655865,0
146,CRNtimNeuron,Neuron,0.0115726703245717,0
147,CSNAT2mNeuron,Neuron,0.0140384207414475,0
148,CSNATmNeuron,Neuron,0.015259792251736,0
149,CSmNeuron,Neuron,0.5904885456033556,2
150,CYANSTmNeuron,Neuron,0.4836591065717672,1
151,CYANtNeuron,Neuron,0.0040070736211996,0
152,CYANtmNeuron,Neuron,0.0203377945096732,0
153,CYSGLUexRNeuron,Neuron,0.0008962143258520736,0
154,CYSGLYexRNeuron,Neuron,0.000908326791214014,0
155,CYSONeuron,Neuron,0.0602976886000378,3
156,CYSTAmNeuron,Neuron,0.0089850813177626,0
157,CYStecNeuron,Neuron,0.0009013511941838176,0
158,CYTK1mNeuron,Neuron,0.0286440819437564,0
159,DLACt2Neuron,Neuron,0.152917406993425,4
160,DLACtmNeuron,Neuron,0.6077318013561871,2
161,DAKmNeuron,Neuron,0.0008223313345950146,0
162,DCKmNeuron,Neuron,0.0322885488881944,0
163,DDPGAmNeuron,Neuron,0.0011005507506369,0
164,DECDPtmNeuron,Neuron,0.0298976175273467,0
165,DGKmNeuron,Neuron,0.0322885488882007,0
166,DGNSKmNeuron,Neuron,0.5073481287840408,1
167,DGSNtNeuron,Neuron,0.0011542055989434,0
168,DGSNtmNeuron,Neuron,0.0165575055959928,0
169,DHDPBMTmNeuron,Neuron,0.4680060061408585,1
170,DHFtmNeuron,Neuron,0.0284693163841945,0
171,DPHMBDCmNeuron,Neuron,0.4968435115091413,1
172,DTKmNeuron,Neuron,0.0344912230153807,0
173,DURIK1mNeuron,Neuron,0.512442178930127,1
174,DUTPDPmNeuron,Neuron,0.5534337906357042,2
175,ECOAH12mNeuron,Neuron,0.1412978405609493,4
176,ECOAH1mNeuron,Neuron,0.1376145105409651,4
177,ECOAH9mNeuron,Neuron,0.1492149503402977,4
178,EHGLAT2mNeuron,Neuron,0.0018485259969788,0
179,EHGLATmNeuron,Neuron,0.0149966853031642,0
180,ETFQONeuron,Neuron,0.001126918173583,0
181,ETFNeuron,Neuron,0.0013746945703302,0
182,ETOHMONeuron,Neuron,0.0729519935605444,3
183,ETOHtNeuron,Neuron,0.0015387029102128,0
184,FALDtmNeuron,Neuron,0.0285728030547892,0
185,FCLTmNeuron,Neuron,0.4755232491192437,1
186,FE2tmNeuron,Neuron,0.6080433573416312,2
187,FORt2mNeuron,Neuron,0.0286241005182853,0
188,FPGS2mNeuron,Neuron,0.5409414897831977,1
189,FPGS3mNeuron,Neuron,0.5410015489987527,2
190,FPGS4mNeuron,Neuron,0.5412816152313312,2
191,FPGS5mNeuron,Neuron,0.54048667837593,1
192,FPGS6mNeuron,Neuron,0.5410015323433257,2
193,FPGS7mNeuron,Neuron,0.5407310130235632,1
194,FPGS8mNeuron,Neuron,0.5409410761974985,1
195,FPGS9mNeuron,Neuron,0.5410015489701965,2
196,FPGSmNeuron,Neuron,0.5505641080121015,2
197,FTHFLmNeuron,Neuron,0.0596734277959766,3
198,FUMSO3tmNeuron,Neuron,0.0007943541625523332,0
199,FUMSO4tmNeuron,Neuron,0.0008599386909725103,0
200,FUMTSULtmNeuron,Neuron,0.0007318046769715685,0
